smiles	interact_with_adenosine
CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1	0
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C	0
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=CN=C(C2=CC=CC=C2)C(=N1)C1=CC=CC=C1	0
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C	0
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C	0
CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1	0
CC(C)N1N=CC=C1C1=C(COC2=C(C=O)C(O)=CC=C2)C=CC=N1	0
CC(C)NC(=O)NS(=O)(=O)C1=CN=CC=C1NC1=CC(C)=CC=C1	0
CC(C)NCC(O)C1=CC(O)=CC(O)=C1	0
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	0
CC(C)NCC(O)C1=CC=C(O)C(O)=C1	0
CC(C)NCC(O)COC1=C(C)C(C)=C(OC(C)=O)C(C)=C1	0
CC(C)NCC(O)COC1=C(CC=C)C=CC=C1	0
CC(C)NCC(O)COC1=C(OCC=C)C=CC=C1	0
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	1
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1	0
CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1	0
CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1	0
CC(C)NCC(O)COC1=CC=CC2=C1C=CN2	0
CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=C1C=CC=C2	0
CC(C)NC[C@H](O)COC1=CC=C(CCOCC2CC2)C=C1	0
